price,score,name,link
990.00,94,Masi Mazzano Amarone della Valpolicella Classico 2006,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/masi-mazzano-amarone-della-valpolicella-classico-2006-597443
28.95,90,Masi Grandarella Refosco 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/masi-grandarella-refosco-2015-606921
106.00,91,Domaine de Montille Les Perrières Beaune 1er Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-de-montille-les-perri%C3%A8res-beaune-1er-cru-2017-609586
40.00,93,François Villard Certitude Crozes-Hermitage 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/fran%C3%A7ois-villard-certitude-crozes-hermitage-2016-609800
14.95,91,La Celia Reserva Malbec/Cabernet Franc 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/la-celia-reserva-malbec-cabernet-franc-2017-618280
24.95,95,Clos de los Siete 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/clos-de-los-siete-2017-622571
398.00,95,Luce 2008,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/luce-2008-625533
946.00,92,Luce 2000,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/luce-2000-625558
55.00,96,Kuentz-Bas Geisberg Riesling 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/kuentz-bas-geisberg-riesling-2015-628537
24.95,94,ZaHa El Corte 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/zaha-el-corte-2016-629972
27.95,92,Bischöfliche Weingüter Trier Piesporter Goldtropfchen Riesling Kabinett 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/bisch%C3%B6fliche-weing%C3%BCter-trier-piesporter-goldtropfchen-riesling-kabinett-2016-629998
16.95,90,Château les Petits Arnauds Tradition 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ch%C3%A2teau-les-petits-arnauds-tradition-2016-630103
19.95,90,Kanonkop Kadette Pinotage 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/kanonkop-kadette-pinotage-2016-630756
19.95,95,Wapisa Malbec 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/wapisa-malbec-2017-631879
85.00,94,Flanagan Sonoma Coast Pinot Noir 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/flanagan-sonoma-coast-pinot-noir-2015-631994
31.00,93,Collavini Turian Ribolla Gialla 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/collavini-turian-ribolla-gialla-2017-632398
29.95,93,San Pedro Sideral 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/san-pedro-sideral-2016-632927
20.95,89,Pierre Lurton Bordeaux 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/pierre-lurton-bordeaux-2016-632984
60.00,95,Flying Goat Cellars Rio Vista Vineyard Dijon Pinot Noir 2013,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/flying-goat-cellars-rio-vista-vineyard-dijon-pinot-noir-2013-633842
540.00,94,Domaine de la Romanée-Conti Échézeaux Grand Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-de-la-roman%C3%A9e-conti-%C3%A9ch%C3%A9zeaux-grand-cru-2017-634196
32.95,91,Domaine Sangouard-Guyot Terroirs Pouilly-Fuissé 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-sangouard-guyot-terroirs-pouilly-fuiss%C3%A9-2016-637850
24.95,90,Josh Cellars North Coast Reserve Cabernet Sauvignon 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/josh-cellars-north-coast-reserve-cabernet-sauvignon-2016-648675
23.95,93,Staete Landt Annabel Sauvignon Blanc 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/staete-landt-annabel-sauvignon-blanc-2018-648691
22.25,92,Cambria Tepusquet Vineyard Syrah 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/cambria-tepusquet-vineyard-syrah-2014-660415
75.00,94,Palazzo Brunello di Montalcino 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/palazzo-brunello-di-montalcino-2015-660746
